,0,1,2,3
65,2019-02-26 19:46:23+00:00,WacoPolice,"Huge THANKS and a shout out to West, TX. Cub Scouts Post #494!! Not only did they come to visit us, but guess who got fresh kolaches?!!!!!! Heck yes, they got a tour of our facilities!!! #MuchBetterThanDonuts",#MuchBetterThanDonuts
66,2019-02-19 20:46:01+00:00,WacoPolice,"An arrest has been made in the Murder occurring at 5630 Wilshire in Waco. Special Crimes Detectives took into custody today, 28-year-old, Quest Jones of Waco. Mr. Jones is accused of murdering his wife, 26-year-old Sherrell Carter during the night of 2-3-2019. Sgt. Swanton",
67,2019-02-19 15:46:55+00:00,WacoPolice,"Scammers want your Money!! With it being tax-time of the year, calls for income tax scams typically increase. We are aware of another local agency working a ""Grand-Parent Scam"" that resulted in a...",
68,2019-02-18 16:53:17+00:00,WacoPolice,"Waco Police Memorial Run The Waco Citizens Police Academy Alumni Association would like to invite you to participate in the Annual Waco Police Memorial Run! It is scheduled for Saturday, May 18th beginning at 8:00 am...",
69,2019-02-18 02:40:37+00:00,WacoPolice,Waco police officer lends a helping hand to pregnant woman and her young child,
70,2019-02-06 16:40:27+00:00,WacoPolice,"**Practice Drill in Progress** We are in the process of conducting a mock training exercise at 2100 North New Rd. This exercise is being conducted by Waco PD, WISD Police, and the US Navy and Marine Reserves. I... https://www.facebook.com/410404492341446/posts/1966987320016481/",
71,2019-01-24 19:09:13+00:00,WacoPolice,Noah Walker has been taken into custody. He was located on Hewitt Drive. He is no longer considered a danger to the public.,
72,2019-01-24 00:35:50+00:00,WacoPolice,"Friday, January 25th, 2019 is the deadline for this round of hiring. https://www.waco-texas.com/police/police-employment.asp",
73,2019-01-23 19:52:27+00:00,WacoPolice,"Deadline is fast approaching for those of you that would like to join us! Waco Police Department Victim Services Training Academy When: Applications due by January 25, 2019 Academy begins February 4, 2019... http://www.waco-texas.com/police/police-victim-services.asp",
74,2019-01-23 14:37:28+00:00,WacoPolice,Not satisfied with the purchased product? Let us know who it is and we will pay them a visit! #CustomerServiceisImportant,#CustomerServiceisImportant
75,2019-01-14 14:45:55+00:00,WacoPolice,No we did not arrest a suspect. Stop spreading false information.,
76,2019-01-01 14:38:53+00:00,WacoPolice,"Murder Early this morning shortly after 2:00 am, Officers responded to a shooting at 211 South Loop, House of Blues Club. On scene, they discovered a male victim with multiple gunshot wounds. It is believed... https://www.facebook.com/410404492341446/posts/1918279448220602/",
77,2018-12-28 01:45:31+00:00,WacoPolice,"Cooper, from Police Officers around the world, Thank you for your thoughtfulness!! Sgt. Swanton",
78,2018-12-24 21:15:56+00:00,WacoPolice,Great job Commander Scott Holt in putting this together and inviting local area First Responders to participate. We had 32 agencies with over 100 First Responder vehicles involved in a fantastic event. Job well done!! Video credit to Anahi...,
79,2018-12-20 19:39:30+00:00,WacoPolice,***MISSING PERSON*** The Waco Police Department needs your help in locating a missing person. Crystal Pruitt’s family hasn’t heard from or seen her since 12/04/18. Detectives learned through speaking with her... https://www.facebook.com/410404492341446/posts/1902186219829925/,
80,2018-12-18 16:38:29+00:00,WacoPolice,"Proof of identity, which could include: ... Proof of Social Security number (e.g., Social Security card, W-2 or 1099)*. Proof of lawful presence in the U.S. ... Proof of residency(2 documents) (e.g., current mortgage statement, medical card, etc.)*.",
