0,1,2,3
2017-08-30 20:33:05+00:00,houstontranstar,IH-10 KATY Westbound At KIRKWOOD RD - Accident - Status: Cleared at 3:30 PM,
2017-08-30 20:24:05+00:00,houstontranstar,IH-10 Westbound At SH 36 - High Water - Status: Cleared at 3:22 PM,
2017-08-30 20:18:05+00:00,houstontranstar,IH-10 KATY Eastbound At WASHINGTON AVE/WESTCOTT ST - Other - Status: Cleared at 3:14 PM,
2017-08-30 20:12:05+00:00,houstontranstar,SH-3 Southbound At SH-146 - High Water - Status: Cleared at 3:09 PM,
2017-08-30 20:09:11+00:00,houstontranstar,SH-3 Southbound At Walker St - High Water - Status: Cleared at 3:06 PM,
2017-08-30 20:09:08+00:00,houstontranstar,SH-3 Northbound At Walker St - High Water - Status: Cleared at 3:07 PM,
2017-08-30 20:09:05+00:00,houstontranstar,SH-3 Northbound At SH-146 - High Water - Status: Cleared at 3:06 PM,
2017-08-30 20:06:09+00:00,houstontranstar,SH-87/ Broadway Southbound At SEWALL BLVD/ 2ND ST - High Water - Status: Cleared at 3:04 PM,
2017-08-30 20:06:06+00:00,houstontranstar,FM-518 Southbound At Kemah Oaks Dr - High Water - Status: Cleared at 3:02 PM,
2017-08-30 20:06:05+00:00,houstontranstar,FM-517 Eastbound At SH-3 - Other - Status: Cleared at 3:04 PM,
