0,1,2,3
2017-08-30 12:06:22+00:00,TxDOTBeaumont,water now on the shoulder of I10 in Orange. At this time still open. Please SLOW DOWN & USE CAUTION #Harvey,#Harvey
2017-08-30 11:41:51+00:00,TxDOTBeaumont,@TxDOTLufkin has sent crews to help SETX. Fueling up and heading out soon to assist! #Harvey,#Harvey
2017-08-30 01:46:32+00:00,TxDOTBeaumont,Visit http://DriveTexas.org for alternative routes,
2017-08-30 00:40:44+00:00,TxDOTBeaumont,"No, you can not get to Houston from Beaumont on I10",
2017-08-29 23:41:21+00:00,TxDOTBeaumont,"No, at this time the Veterans is OPEN",
2017-08-29 23:04:39+00:00,TxDOTBeaumont,US69 north & southbound between Beaumont & Lumberton are now CLOSED #Harvey,#Harvey
2017-08-29 20:30:39+00:00,TxDOTBeaumont,Rainbow Bridge between Bridge City & Port Arthur is now CLOSED due to high water at the foot of the bridge. STAY HOME IF POSSIBLE #Harvey,#Harvey
2017-08-29 18:28:11+00:00,TxDOTBeaumont,"CHAMBERS COUNTY: the water on SH146 at I10 continues to rise. If you are in a safe place, stay there. Do not get out on the roads! #Harvey",#Harvey
2017-08-29 17:10:55+00:00,TxDOTBeaumont,We are monitoring,
2017-08-29 17:09:39+00:00,TxDOTBeaumont,Yes,
2017-08-29 16:15:43+00:00,TxDOTBeaumont,"Small cattle drive on SH124 in BMT right now. Be careful, lots of livestock trying to find higher ground #Harvey",#Harvey
2017-08-29 16:10:46+00:00,TxDOTBeaumont,Yes. Posted right after it was taken.,
2017-08-29 15:49:32+00:00,TxDOTBeaumont,I10 east&westbound between BMT & Winnie are still closed. In front of Goodyear is approaching 2 FEET deep,
2017-08-29 15:29:17+00:00,TxDOTBeaumont,Even our area engineers & district engineer are helping put up signage #Harvey,#Harvey
2017-08-29 15:16:59+00:00,TxDOTBeaumont,BMT: Major Dr @I10. #turnarounddontdrown #Harvey,#turnarounddontdrown #Harvey
2017-08-29 15:07:33+00:00,TxDOTBeaumont,We're having issues w/people driving the wrong way because other direction is flooded. PLEASE DONT DO THAT! We want everyone to stay safe,
2017-08-29 14:22:17+00:00,TxDOTBeaumont,PORT ARTHUR: SH73 westbound near LaBelle Rd is CLOSED #TurnAroundDontDrown #Harvey,#TurnAroundDontDrown #Harvey
